penalty,state,variable,mean,std,count,state_share
0.6,state_0,growth_pc1,0.13580194524471043,1.0751226165297219,224,0.3764705882352941
0.6,state_0,gs10,4.076428571428571,1.7118847857080672,224,0.3764705882352941
0.6,state_0,inflation_pc1,-0.004317367967315913,1.0727009928302234,224,0.3764705882352941
0.6,state_0,term_spread_10y_1y,0.3862946428571429,0.657130685562919,224,0.3764705882352941
0.6,state_1,growth_pc1,-0.24295744881905346,1.7700771052841484,188,0.31596638655462184
0.6,state_1,gs10,4.086968085106383,1.8869920208301154,188,0.31596638655462184
0.6,state_1,inflation_pc1,-0.41082142168834407,1.3859098414726099,188,0.31596638655462184
0.6,state_1,term_spread_10y_1y,2.3346808510638297,0.5747665457307432,188,0.31596638655462184
0.6,state_2,growth_pc1,-0.01926540719440495,1.5795576436533005,183,0.30756302521008405
0.6,state_2,gs10,9.787049180327868,2.16764825032302,183,0.30756302521008405
0.6,state_2,inflation_pc1,0.4242312893947381,1.131330106684917,183,0.30756302521008405
0.6,state_2,term_spread_10y_1y,0.6378688524590164,1.1757173841196717,183,0.30756302521008405
