penalty,state,state_share,growth_pc1_count,growth_pc1_mean,growth_pc1_std,gs10_count,gs10_mean,gs10_std,inflation_pc1_count,inflation_pc1_mean,inflation_pc1_std,term_spread_10y_1y_count,term_spread_10y_1y_mean,term_spread_10y_1y_std
0.6,state_0,0.3764705882352941,224,0.13580194524471043,1.0751226165297219,224,4.076428571428571,1.7118847857080672,224,-0.004317367967315913,1.0727009928302234,224,0.3862946428571429,0.657130685562919
0.6,state_1,0.31596638655462184,188,-0.24295744881905346,1.7700771052841484,188,4.086968085106383,1.8869920208301154,188,-0.41082142168834407,1.3859098414726099,188,2.3346808510638297,0.5747665457307432
0.6,state_2,0.30756302521008405,183,-0.01926540719440495,1.5795576436533005,183,9.787049180327868,2.16764825032302,183,0.4242312893947381,1.131330106684917,183,0.6378688524590164,1.1757173841196717
