release_date_raw,time,actual,forecast,previous
"Dec 01, 1986 (Nov)",4:00,57,,54.5
"Nov 01, 1986 (Oct)",4:00,54.5,,57.3
"Oct 01, 1986 (Sep)",5:00,57.3,,58.4
"Sep 01, 1986 (Aug)",5:00,58.4,,51.2
"Aug 01, 1986 (Jul)",5:00,51.2,,55.3
"Jul 01, 1986 (Jun)",5:00,55.3,,61.1
"Jun 01, 1986 (May)",5:00,61.1,,54.4
"May 01, 1986 (Apr)",5:00,54.4,,54.5
"Apr 01, 1986 (Mar)",4:00,54.5,,57.1
"Mar 01, 1986 (Feb)",4:00,57.1,,56.7
"Feb 01, 1986 (Jan)",4:00,56.7,,54.8
"Jan 01, 1986 (Dec)",4:00,54.8,,57.2
"Dec 01, 1985 (Nov)",4:00,57.2,,53.4
"Nov 01, 1985 (Oct)",4:00,53.4,,54.6
"Oct 01, 1985 (Sep)",5:00,54.6,,51.8
"Sep 01, 1985 (Aug)",5:00,51.8,,52.5
"Aug 01, 1985 (Jul)",5:00,52.5,,50.7
"Jul 01, 1985 (Jun)",5:00,50.7,,49.5
"Jun 01, 1985 (May)",5:00,49.5,,51.3
"May 01, 1985 (Apr)",5:00,51.3,,49.1
"Apr 01, 1985 (Mar)",4:00,49.1,,51.8
"Mar 01, 1985 (Feb)",4:00,51.8,,51.8
"Feb 01, 1985 (Jan)",4:00,51.8,,52.8
"Jan 01, 1985 (Dec)",4:00,52.8,,52
"Dec 01, 1984 (Nov)",4:00,52,,52.9
"Nov 01, 1984 (Oct)",4:00,52.9,,47.2
"Oct 01, 1984 (Sep)",5:00,47.2,,54
"Sep 01, 1984 (Aug)",5:00,54,,54.1
"Aug 01, 1984 (Jul)",5:00,54.1,,60.5
"Jul 01, 1984 (Jun)",5:00,60.5,,59.2
"Jun 01, 1984 (May)",5:00,59.2,,63.2
"May 01, 1984 (Apr)",5:00,63.2,,60.9
"Apr 01, 1984 (Mar)",4:00,60.9,,64.9
"Mar 01, 1984 (Feb)",4:00,64.9,,63.7
"Feb 01, 1984 (Jan)",4:00,63.7,,74.8
"Jan 01, 1984 (Dec)",4:00,74.8,,69.2
"Dec 01, 1983 (Nov)",4:00,69.2,,69.5
"Nov 01, 1983 (Oct)",4:00,69.5,,66.9
"Oct 01, 1983 (Sep)",5:00,66.9,,68.1
"Sep 01, 1983 (Aug)",5:00,68.1,,70.3
"Aug 01, 1983 (Jul)",5:00,70.3,,62.3
"Jul 01, 1983 (Jun)",5:00,62.3,,61.8
"Jun 01, 1983 (May)",5:00,61.8,,59.4
"May 01, 1983 (Apr)",5:00,59.4,,60.8
"Apr 01, 1983 (Mar)",4:00,60.8,,60.6
"Mar 01, 1983 (Feb)",4:00,60.6,,50.3
"Feb 01, 1983 (Jan)",4:00,50.3,,46
"Jan 01, 1983 (Dec)",4:00,46,,41.5
"Dec 01, 1982 (Nov)",4:00,41.5,,41.9
"Nov 01, 1982 (Oct)",4:00,41.9,,40.4
"Oct 01, 1982 (Sep)",5:00,40.4,,40.1
"Sep 01, 1982 (Aug)",5:00,40.1,,40.7
"Aug 01, 1982 (Jul)",5:00,40.7,,42
"Jul 01, 1982 (Jun)",5:00,42,,38.1
"Jun 01, 1982 (May)",5:00,38.1,,40.9
"May 01, 1982 (Apr)",5:00,40.9,,40.4
"Apr 01, 1982 (Mar)",4:00,40.4,,38.6
"Mar 01, 1982 (Feb)",4:00,38.6,,39.9
"Feb 01, 1982 (Jan)",4:00,39.9,,39.1
"Jan 01, 1982 (Dec)",4:00,39.1,,32.8
"Dec 01, 1981 (Nov)",4:00,32.8,,40.2
"Nov 01, 1981 (Oct)",4:00,40.2,,42.2
"Oct 01, 1981 (Sep)",5:00,42.2,,47.2
"Sep 01, 1981 (Aug)",5:00,47.2,,47.6
"Aug 01, 1981 (Jul)",5:00,47.6,,51
"Jul 01, 1981 (Jun)",5:00,51,,55.7
"Jun 01, 1981 (May)",5:00,55.7,,53.1
"May 01, 1981 (Apr)",5:00,53.1,,50.2
"Apr 01, 1981 (Mar)",4:00,50.2,,51.1
"Mar 01, 1981 (Feb)",4:00,51.1,,48.7
"Feb 01, 1981 (Jan)",4:00,48.7,,51.2
"Jan 01, 1981 (Dec)",4:00,51.2,,65.3
"Dec 01, 1980 (Nov)",4:00,65.3,,63.7
"Nov 01, 1980 (Oct)",4:00,63.7,,53.9
"Oct 01, 1980 (Sep)",5:00,53.9,,54.1
"Sep 01, 1980 (Aug)",5:00,54.1,,36.1
"Aug 01, 1980 (Jul)",5:00,36.1,,24.2
"Jul 01, 1980 (Jun)",5:00,24.2,,25.6
"Jun 01, 1980 (May)",5:00,25.6,,32
"May 01, 1980 (Apr)",5:00,32,,43.8
"Apr 01, 1980 (Mar)",4:00,43.8,,51.6
"Mar 01, 1980 (Feb)",4:00,51.6,,47.1
"Feb 01, 1980 (Jan)",4:00,47.1,,44.3
"Jan 01, 1980 (Dec)",4:00,44.3,,46.5
"Dec 01, 1979 (Nov)",4:00,46.5,,47.3
"Nov 01, 1979 (Oct)",4:00,47.3,,48.7
"Oct 01, 1979 (Sep)",5:00,48.7,,46.9
"Sep 01, 1979 (Aug)",5:00,46.9,,49.8
"Aug 01, 1979 (Jul)",5:00,49.8,,49.4
"Jul 01, 1979 (Jun)",5:00,49.4,,52.1
"Jun 01, 1979 (May)",5:00,52.1,,55.1
"May 01, 1979 (Apr)",5:00,55.1,,56.7
"Apr 01, 1979 (Mar)",4:00,56.7,,58.6
"Mar 01, 1979 (Feb)",4:00,58.6,,57.3
"Feb 01, 1979 (Jan)",4:00,57.3,,59.9
"Jan 01, 1979 (Dec)",4:00,59.9,,61.9
"Dec 01, 1978 (Nov)",4:00,61.9,,58.8
"Nov 01, 1978 (Oct)",4:00,58.8,,61.3
"Oct 01, 1978 (Sep)",5:00,61.3,,61.3
"Sep 01, 1978 (Aug)",5:00,61.3,,64.7
"Aug 01, 1978 (Jul)",5:00,64.7,,63.6
"Jul 01, 1978 (Jun)",5:00,63.6,,63.9
"Jun 01, 1978 (May)",5:00,63.9,,60.2
"May 01, 1978 (Apr)",5:00,60.2,,56.6
"Apr 01, 1978 (Mar)",4:00,56.6,,56.2
"Mar 01, 1978 (Feb)",4:00,56.2,,60.6
"Feb 01, 1978 (Jan)",4:00,60.6,,60.7
"Jan 01, 1978 (Dec)",4:00,60.7,,59.2
"Dec 01, 1977 (Nov)",4:00,59.2,,57.1
"Nov 01, 1977 (Oct)",4:00,57.1,,57
"Oct 01, 1977 (Sep)",5:00,57,,58.8
"Sep 01, 1977 (Aug)",5:00,58.8,,58.9
"Aug 01, 1977 (Jul)",5:00,58.9,,58.1
"Jul 01, 1977 (Jun)",5:00,58.1,,64.5
"Jun 01, 1977 (May)",5:00,64.5,,60.3
"May 01, 1977 (Apr)",5:00,60.3,,63.5
"Apr 01, 1977 (Mar)",4:00,63.5,,56.8
"Mar 01, 1977 (Feb)",4:00,56.8,,57.2
"Feb 01, 1977 (Jan)",4:00,57.2,,58.9
"Jan 01, 1977 (Dec)",4:00,58.9,,55.7
"Dec 01, 1976 (Nov)",4:00,55.7,,57
"Nov 01, 1976 (Oct)",4:00,57,,55.3
"Oct 01, 1976 (Sep)",5:00,55.3,,57.7
"Sep 01, 1976 (Aug)",5:00,57.7,,58
"Aug 01, 1976 (Jul)",5:00,58,,60.6
"Jul 01, 1976 (Jun)",5:00,60.6,,62.3
"Jun 01, 1976 (May)",5:00,62.3,,65.2
"May 01, 1976 (Apr)",5:00,65.2,,61.6
"Apr 01, 1976 (Mar)",4:00,61.6,,68.7
"Mar 01, 1976 (Feb)",4:00,68.7,,63.8
"Feb 01, 1976 (Jan)",4:00,63.8,,63.1
"Jan 01, 1976 (Dec)",4:00,63.1,,62.2
"Dec 01, 1975 (Nov)",4:00,62.2,,64.2
"Nov 01, 1975 (Oct)",4:00,64.2,,60.4
"Oct 01, 1975 (Sep)",5:00,60.4,,60.3
"Sep 01, 1975 (Aug)",5:00,60.3,,58.4
"Aug 01, 1975 (Jul)",5:00,58.4,,54.9
"Jul 01, 1975 (Jun)",5:00,54.9,,47.2
"Jun 01, 1975 (May)",5:00,47.2,,42.6
"May 01, 1975 (Apr)",5:00,42.6,,37
"Apr 01, 1975 (Mar)",5:00,37,,40
"Mar 01, 1975 (Feb)",5:00,40,,32.8
"Feb 01, 1975 (Jan)",4:00,32.8,,27.9
"Jan 01, 1975 (Dec)",4:00,27.9,,33.1
"Dec 01, 1974 (Nov)",4:00,33.1,,36.5
"Nov 01, 1974 (Oct)",4:00,36.5,,41.2
"Oct 01, 1974 (Sep)",5:00,41.2,,50.2
"Sep 01, 1974 (Aug)",5:00,50.2,,52.6
"Aug 01, 1974 (Jul)",5:00,52.6,,51.9
"Jul 01, 1974 (Jun)",5:00,51.9,,51.6
"Jun 01, 1974 (May)",5:00,51.6,,56.4
"May 01, 1974 (Apr)",5:00,56.4,,58
"Apr 01, 1974 (Mar)",5:00,58,,56
"Mar 01, 1974 (Feb)",5:00,56,,55.7
"Feb 01, 1974 (Jan)",5:00,55.7,,59
"Jan 01, 1974 (Dec)",4:00,59,,65.2
"Dec 01, 1973 (Nov)",4:00,65.2,,65.4
"Nov 01, 1973 (Oct)",4:00,65.4,,60
"Oct 01, 1973 (Sep)",5:00,60,,59.1
"Sep 01, 1973 (Aug)",5:00,59.1,,49.2
"Aug 01, 1973 (Jul)",5:00,49.2,,61
"Jul 01, 1973 (Jun)",5:00,61,,63.5
"Jun 01, 1973 (May)",5:00,63.5,,65.9
"May 01, 1973 (Apr)",5:00,65.9,,68.8
"Apr 01, 1973 (Mar)",4:00,68.8,,69
"Mar 01, 1973 (Feb)",4:00,69,,73.8
"Feb 01, 1973 (Jan)",4:00,73.8,,71.9
"Jan 01, 1973 (Dec)",4:00,71.9,,73
"Dec 01, 1972 (Nov)",4:00,73,,70.8
"Nov 01, 1972 (Oct)",4:00,70.8,,69.3
"Oct 01, 1972 (Sep)",5:00,69.3,,65.1
"Sep 01, 1972 (Aug)",5:00,65.1,,64.7
"Aug 01, 1972 (Jul)",5:00,64.7,,62.1
"Jul 01, 1972 (Jun)",5:00,62.1,,66.9
"Jun 01, 1972 (May)",5:00,66.9,,63
"May 01, 1972 (Apr)",5:00,63,,64.6
"Apr 01, 1972 (Mar)",4:00,64.6,,66
"Mar 01, 1972 (Feb)",4:00,66,,64.8
"Feb 01, 1972 (Jan)",4:00,64.8,,63.5
"Jan 01, 1972 (Dec)",4:00,63.5,,55.4
"Dec 01, 1971 (Nov)",4:00,55.4,,61.4
"Nov 01, 1971 (Oct)",4:00,61.4,,61
"Oct 01, 1971 (Sep)",5:00,61,,58.4
"Sep 01, 1971 (Aug)",5:00,58.4,,57.8
"Aug 01, 1971 (Jul)",5:00,57.8,,57.9
"Jul 01, 1971 (Jun)",5:00,57.9,,57
"Jun 01, 1971 (May)",5:00,57,,59.6
"May 01, 1971 (Apr)",5:00,59.6,,56.2
"Apr 01, 1971 (Mar)",4:00,56.2,,62.8
"Mar 01, 1971 (Feb)",4:00,62.8,,55.4
"Feb 01, 1971 (Jan)",4:00,55.4,,51.2
"Jan 01, 1971 (Dec)",4:00,51.2,,43.3
"Dec 01, 1970 (Nov)",4:00,43.3,,44.7
"Nov 01, 1970 (Oct)",4:00,44.7,,44.2
"Oct 01, 1970 (Sep)",5:00,44.2,,51.8
"Sep 01, 1970 (Aug)",5:00,51.8,,52.5
"Aug 01, 1970 (Jul)",5:00,52.5,,53.2
"Jul 01, 1970 (Jun)",5:00,53.2,,45.3
"Jun 01, 1970 (May)",5:00,45.3,,45.7
"May 01, 1970 (Apr)",5:00,45.7,,45.2
"Apr 01, 1970 (Mar)",4:00,45.2,,45.8
"Mar 01, 1970 (Feb)",4:00,45.8,,45.8
"Feb 01, 1970 (Jan)",4:00,45.8,,48
"Jan 01, 1970 (Dec)",4:00,48,,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
