asset,regime_name,n_months,time_weighted_annualized_return,annualized_vol,sharpe_like,hit_ratio,max_drawdown
spx,High Inflation / High Rate Regime,183,0.07818144919339454,0.17379625419721773,0.44984542132120436,0.5737704918032787,-0.37347778447793956
spx,Low Inflation / Steep Curve Regime,188,0.04097834129087774,0.1542921393711093,0.26558929999871916,0.6117021276595744,-0.5030839640377568
spx,Moderate Growth / Flat Curve Regime,223,0.13301048613130861,0.14082922197859088,0.9444807282364247,0.672645739910314,-0.2476952223905884
oil,High Inflation / High Rate Regime,183,0.1462441003260455,0.4404211414937491,0.33205513211749654,0.4207650273224044,-0.7069620253164557
oil,Low Inflation / Steep Curve Regime,188,-0.12771767868255612,0.3243937377809892,-0.39371191181496634,0.5372340425531915,-0.9258665709966499
oil,Moderate Growth / Flat Curve Regime,223,0.17189596878634927,0.31653827937344614,0.5430495456239892,0.5919282511210763,-0.5557306025994487
bond,High Inflation / High Rate Regime,62,0.08381186823081044,0.08730948131064489,0.9599400543064729,0.6451612903225806,-0.12347121472542089
bond,Low Inflation / Steep Curve Regime,188,0.10846620674026863,0.12359122789596293,0.8776205931991687,0.6170212765957447,-0.15985728671774224
bond,Moderate Growth / Flat Curve Regime,222,0.04182929527609236,0.11594489178029728,0.3607687637964615,0.545045045045045,-0.39846215925242134
gold,High Inflation / High Rate Regime,162,0.044589084452344,0.22669694728467535,0.19669027301170988,0.4876543209876543,-0.5570857396712569
gold,Low Inflation / Steep Curve Regime,188,0.06162703191618801,0.12021370584866754,0.5126456378756673,0.5372340425531915,-0.39708787177605964
gold,Moderate Growth / Flat Curve Regime,222,0.07536631684164563,0.13038758361307234,0.5780175899669758,0.4864864864864865,-0.36727541548530285
