sample_name,penalty,best_seed,objective_value,start_date,end_date,n_obs,state_0_share,state_1_share,state_2_share,state_0_mean_duration,state_1_mean_duration,state_2_mean_duration,min_state_share,max_state_share,smallest_state_mean_duration,largest_state_mean_duration,state_0_occurrences,state_1_occurrences,state_2_occurrences,state_0_count,state_1_count,state_2_count
baseline,0.6,5,824.0093877022689,1972-08-01,2025-09-01,595,0.3764705882352941,0.31596638655462184,0.30756302521008405,44.8,37.6,61.0,0.30756302521008405,0.3764705882352941,37.6,61.0,5,5,3,224,188,183
trim_start_3y,0.6,5,804.9263504897438,1975-08-01,2025-09-01,583,0.39451114922813035,0.31046312178387653,0.2950257289879931,76.66666666666667,45.25,57.333333333333336,0.2950257289879931,0.39451114922813035,45.25,76.66666666666667,3,4,3,230,181,172
trim_start_5y,0.6,1,789.8954981767463,1977-08-01,2025-09-01,575,0.4,0.31478260869565217,0.2852173913043478,76.66666666666667,45.25,54.666666666666664,0.2852173913043478,0.4,45.25,76.66666666666667,3,4,3,230,181,164
trim_start_10y,0.6,2,691.8483706443953,1982-08-01,2025-09-01,518,0.38803088803088803,0.3359073359073359,0.27606177606177607,40.2,43.5,47.666666666666664,0.27606177606177607,0.38803088803088803,40.2,47.666666666666664,5,4,3,201,174,143
trim_end_3y,0.6,0,765.0336298412403,1972-08-01,2022-09-01,559,0.4597495527728086,0.4221824686940966,0.11806797853309481,85.66666666666667,26.22222222222222,8.25,0.11806797853309481,0.4597495527728086,8.25,85.66666666666667,3,9,8,257,236,66
trim_end_5y,0.6,2,718.2184993339436,1972-08-01,2020-09-01,535,0.4411214953271028,0.4392523364485981,0.11962616822429907,26.22222222222222,78.33333333333333,9.142857142857142,0.11962616822429907,0.4411214953271028,9.142857142857142,78.33333333333333,9,3,7,236,235,64
trim_end_10y,0.6,4,601.7367387525893,1972-08-01,2015-09-01,475,0.5052631578947369,0.3642105263157895,0.13052631578947368,21.818181818181817,43.25,6.888888888888889,0.13052631578947368,0.5052631578947369,6.888888888888889,43.25,11,4,9,240,173,62
trim_start_5y_end_5y,0.6,0,699.7625945504901,1977-08-01,2020-09-01,515,0.45436893203883494,0.4349514563106796,0.11067961165048544,78.0,28.0,9.5,0.11067961165048544,0.45436893203883494,9.5,78.0,3,8,6,234,224,57
