regime_name,variable,mean,variance,std,count
High-Rate / Resilient Growth,growth_pc1,0.5157959419491658,1.4736951692287048,1.2139584709654219,104
High-Rate / Resilient Growth,inflation_pc1,-0.15795901982273897,1.8578925564305213,1.3630453244226772,104
High-Rate / Resilient Growth,gs10,9.969134615384615,4.567501185586258,2.137171304689041,104
High-Rate / Resilient Growth,term_spread_10y_1y,1.2060576923076922,1.093794986930545,1.0458465408130129,104
High-Rate / Resilient Growth,credit_spread,1.3856730769230767,0.08319954256908135,0.2884433091078407,104
Late-Cycle / Inflationary Flat Curve,growth_pc1,-0.07183009658245103,0.8242304893747165,0.9078714057479267,240
Late-Cycle / Inflationary Flat Curve,inflation_pc1,0.2283604378680362,1.698369845942988,1.3032151955617262,240
Late-Cycle / Inflationary Flat Curve,gs10,5.725041666666667,4.62481255055788,2.1505377352090056,240
Late-Cycle / Inflationary Flat Curve,term_spread_10y_1y,0.092875,0.509192118200837,0.7135769882786559,240
Late-Cycle / Inflationary Flat Curve,credit_spread,0.8407083333333333,0.031535479428172974,0.17758231732966256,240
Low-Rate / Steep Curve,growth_pc1,0.27272993576609295,1.2178026474881043,1.1035409586816904,219
Low-Rate / Steep Curve,inflation_pc1,-0.09965250742892602,1.0204591053180831,1.0101777592671912,219
Low-Rate / Steep Curve,gs10,3.5491324200913237,3.3890263080725553,1.8409308265311208,219
Low-Rate / Steep Curve,term_spread_10y_1y,2.09703196347032,0.545930141175485,0.7388708555461401,219
Low-Rate / Steep Curve,credit_spread,0.9552511415525113,0.06914706966612208,0.26295830404480874,219
Macro-Financial Stress,growth_pc1,-3.591042027357574,7.772106949951968,2.7878498793787245,32
Macro-Financial Stress,inflation_pc1,-0.535064363833732,2.1682099630254523,1.472484282777053,32
Macro-Financial Stress,gs10,8.88875,24.588843548387096,4.958713900638662,32
Macro-Financial Stress,term_spread_10y_1y,1.1003124999999998,1.088886995967742,1.0434974824922876,32
Macro-Financial Stress,credit_spread,2.3103125000000007,0.2479708669354841,0.49796673275981407,32
