seed,log_likelihood,converged,iterations
0,-2639.020431566257,True,38
1,-2706.1287184715325,True,51
2,-2829.073877621885,True,19
3,-2747.484719711213,True,21
4,-2685.958657647047,True,75
5,-2721.049631098846,True,20
6,-2706.12871884758,True,26
7,-2763.1081242427636,True,24
8,-2746.607890474801,True,22
9,-2763.108123640098,True,25
10,-2653.9102870831653,True,21
11,-2639.02043365912,True,94
12,-2747.484719022755,True,31
13,-2666.226730545638,True,17
14,-2678.0362145701843,True,24
