regime_name,credit_spread_mean,growth_pc1_mean,gs10_mean,inflation_pc1_mean,term_spread_10y_1y_mean,realized_vol_mean,bond_ann_return,gold_ann_return,oil_ann_return,spx_ann_return
High-Rate / Resilient Growth,1.3856730769230767,0.5157959419491658,9.969134615384617,-0.1579590198227389,1.2060576923076922,0.042200189970440366,0.0702165228360647,-0.0281069157219638,-0.1149323870592774,0.1277072172667175
Late-Cycle / Inflationary Flat Curve,0.8407083333333333,-0.071830096582451,5.725041666666667,0.2283604378680362,0.092875,0.04188445777294478,0.0620119784573771,0.111020652079504,0.189768465281763,0.0691938042194983
Low-Rate / Steep Curve,0.9552511415525112,0.2727299357660929,3.549132420091324,-0.099652507428926,2.09703196347032,0.04028454455721129,0.0789494314869572,0.0549338682543361,0.132446514497631,0.0905417379004909
Macro-Financial Stress,2.3103125000000007,-3.591042027357574,8.88875,-0.535064363833732,1.1003124999999998,0.08195773281448387,0.1926291119227168,0.0489542394550677,-0.4877822431594224,0.0546329856531044
