date,gs10,term_spread_10y_1y,bog_amom
1953-04-01,2.83,0.4700000000000002,
1953-05-01,3.05,0.5699999999999998,
1953-06-01,3.11,0.6599999999999997,
1953-07-01,2.93,0.5500000000000003,
1953-08-01,2.95,0.6700000000000004,
1953-09-01,2.87,0.6699999999999999,
1953-10-01,2.66,0.8700000000000001,
1953-11-01,2.68,1.0100000000000002,
1953-12-01,2.59,0.9299999999999999,
1954-01-01,2.48,1.07,
1954-02-01,2.47,1.3300000000000003,
1954-03-01,2.37,1.2400000000000002,
1954-04-01,2.29,1.33,
1954-05-01,2.37,1.52,
1954-06-01,2.38,1.56,
1954-07-01,2.3,1.46,
1954-08-01,2.36,1.48,
1954-09-01,2.38,1.3499999999999999,
1954-10-01,2.43,1.2600000000000002,
1954-11-01,2.48,1.34,
1954-12-01,2.51,1.2999999999999998,
1955-01-01,2.61,1.22,
1955-02-01,2.65,1.0799999999999998,
1955-03-01,2.68,1.09,
1955-04-01,2.75,1.0,
1955-05-01,2.76,0.8599999999999999,
1955-06-01,2.78,0.8699999999999999,
1955-07-01,2.9,0.8799999999999999,
1955-08-01,2.97,0.6000000000000001,
1955-09-01,2.97,0.6100000000000003,
1955-10-01,2.88,0.48999999999999977,
1955-11-01,2.89,0.41000000000000014,
1955-12-01,2.96,0.22999999999999998,
1956-01-01,2.9,0.31999999999999984,
1956-02-01,2.84,0.34999999999999964,
1956-03-01,2.96,0.3500000000000001,
1956-04-01,3.18,0.26000000000000023,
1956-05-01,3.07,0.1299999999999999,
1956-06-01,3.0,0.2599999999999998,
1956-07-01,3.11,0.3500000000000001,
1956-08-01,3.33,0.22999999999999998,
1956-09-01,3.38,0.029999999999999805,
1956-10-01,3.34,0.06000000000000005,
1956-11-01,3.49,0.050000000000000266,
1956-12-01,3.59,-0.0900000000000003,
1957-01-01,3.46,0.08999999999999986,
1957-02-01,3.34,-0.040000000000000036,
1957-03-01,3.41,-0.009999999999999787,
1957-04-01,3.48,-0.010000000000000231,
1957-05-01,3.6,0.1200000000000001,
1957-06-01,3.8,0.1499999999999999,
1957-07-01,3.93,0.1200000000000001,
1957-08-01,3.93,-0.07999999999999963,
1957-09-01,3.92,-0.15000000000000036,
1957-10-01,3.97,-0.03999999999999959,
1957-11-01,3.72,0.15000000000000036,
1957-12-01,3.21,0.029999999999999805,
1958-01-01,3.09,0.43999999999999995,
1958-02-01,3.05,1.0599999999999998,
1958-03-01,2.98,1.14,
1958-04-01,2.88,1.43,
1958-05-01,2.92,1.5499999999999998,
1958-06-01,2.97,1.7400000000000002,
1958-07-01,3.2,1.59,
1958-08-01,3.54,1.04,
1958-09-01,3.76,0.71,
1958-10-01,3.8,0.6099999999999999,
1958-11-01,3.74,0.6400000000000001,
1958-12-01,3.86,0.5699999999999998,
1959-01-01,4.02,0.6599999999999997,
1959-02-01,3.96,0.41999999999999993,-15.42235747096009
1959-03-01,3.99,0.38000000000000034,-2.3832034070136454
1959-04-01,4.12,0.3999999999999999,10.0971420743168
1959-05-01,4.31,0.34999999999999964,0.0
1959-06-01,4.34,0.2699999999999996,4.897010262984169
1959-07-01,4.4,0.010000000000000675,12.6026799149777
1959-08-01,4.43,0.009999999999999787,-2.3367967476147222
1959-09-01,4.68,-0.3200000000000003,0.0
1959-10-01,4.53,-0.2699999999999996,0.0
1959-11-01,4.53,-0.27999999999999936,4.837794508832194
1959-12-01,4.69,-0.4499999999999993,15.0994797053017
1960-01-01,4.72,-0.3100000000000005,-17.127819971849334
1960-02-01,4.49,-0.16999999999999993,-23.142791623148497
1960-03-01,4.25,0.23000000000000043,-2.3927067925656353
1960-04-01,4.28,0.2400000000000002,4.957693332816904
1960-05-01,4.35,0.13999999999999968,0.0
1960-06-01,4.15,0.7900000000000005,7.488842759201919
1960-07-01,3.9,0.6999999999999997,12.682503013196978
1960-08-01,3.8,0.8499999999999996,-4.650310474902042
1960-09-01,3.8,0.73,-9.136235276179594
1960-10-01,3.89,0.8500000000000001,4.917072247155585
1960-11-01,3.93,0.8500000000000001,4.897010262984169
1960-12-01,3.84,0.98,-11.297411716503426
1961-01-01,3.84,1.0299999999999998,-15.62266733365295
1961-02-01,3.78,0.8499999999999996,-15.828234950907616
1961-03-01,3.74,0.8600000000000003,0.0
1961-04-01,3.78,0.8999999999999999,2.5077080909472915
1961-05-01,3.71,0.8399999999999999,0.0
1961-06-01,3.88,0.8199999999999998,10.358412933927209
1961-07-01,3.92,1.0,7.615523761454712
1961-08-01,4.04,0.98,2.4664754800594046
1961-09-01,3.98,0.9199999999999999,7.551652245393381
1961-10-01,3.92,0.8700000000000001,10.118410548294875
1961-11-01,3.94,0.8700000000000001,12.682503013196978
1961-12-01,4.06,0.8799999999999994,20.75686896255522
1962-01-01,4.08,0.8000000000000003,-15.199615635447161
1962-02-01,4.04,0.7600000000000002,-17.406492244654213
1962-03-01,3.93,0.8700000000000001,4.927164996405109
1962-04-01,3.84,0.8499999999999996,10.033869371614635
1962-05-01,3.87,0.8400000000000003,2.407107608510217
1962-06-01,3.91,0.8800000000000003,9.930157606674172
1962-07-01,4.01,0.7199999999999998,9.848718123936884
1962-08-01,3.98,0.7799999999999998,-2.314264588471604
1962-09-01,3.98,0.9199999999999999,2.3690916373019233
1962-10-01,3.93,0.9500000000000002,7.247712586685484
1962-11-01,3.92,0.9199999999999999,-6.757918105551475
1962-12-01,3.86,0.8500000000000001,26.07003838513822
1963-01-01,3.83,0.79,-14.93005478506424
1963-02-01,3.92,0.9100000000000001,-13.094813952329542
1963-03-01,3.93,0.9000000000000004,4.8087203468488715
1963-04-01,3.97,0.8600000000000003,7.262327559107717
1963-05-01,3.93,0.81,4.761032151402267
1963-06-01,3.99,0.79,12.24306539307609
1963-07-01,4.02,0.5399999999999996,14.699370497873932
1963-08-01,4.0,0.4700000000000002,-4.45194311569529
1963-09-01,4.08,0.5100000000000002,7.06293246387133
