date,credit_spread,ur_diff,cp_amom,hs_amom,realized_vol
1919-01-01,1.7700000000000005,,,,
1919-02-01,1.8500000000000005,,,,
1919-03-01,1.7600000000000007,,,,
1919-04-01,1.79,,,,
1919-05-01,1.7000000000000002,,,,
1919-06-01,1.6399999999999997,,,,
1919-07-01,1.6199999999999992,,,,
1919-08-01,1.5700000000000003,,,,
1919-09-01,1.67,,,,
1919-10-01,1.7999999999999998,,,,
1919-11-01,1.88,,,,
1919-12-01,2.039999999999999,,,,
1920-01-01,2.0300000000000002,,,,
1920-02-01,2.08,,,,
1920-03-01,2.05,,,,
1920-04-01,2.13,,,,
1920-05-01,2.1400000000000006,,,,
1920-06-01,2.0100000000000007,,,,
1920-07-01,2.1799999999999997,,,,
1920-08-01,2.0900000000000007,,,,
1920-09-01,1.9200000000000008,,,,
1920-10-01,1.9400000000000004,,,,
1920-11-01,2.130000000000001,,,,
1920-12-01,2.3000000000000007,,,,
1921-01-01,2.3600000000000003,,,,
1921-02-01,2.34,,,,
1921-03-01,2.4700000000000006,,,,
1921-04-01,2.4699999999999998,,,,
1921-05-01,2.4099999999999993,,,,
1921-06-01,2.380000000000001,,,,
1921-07-01,2.3600000000000003,,,,
1921-08-01,2.5199999999999996,,,,
1921-09-01,2.41,,,,
1921-10-01,2.5,,,,
1921-11-01,2.2800000000000002,,,,
1921-12-01,2.1100000000000003,,,,
1922-01-01,2.3600000000000003,,,,
1922-02-01,2.26,,,,
1922-03-01,2.2199999999999998,,,,
1922-04-01,1.9899999999999993,,,,
1922-05-01,1.7599999999999998,,,,
1922-06-01,1.8899999999999997,,,,
1922-07-01,1.8899999999999997,,,,
1922-08-01,1.8899999999999997,,,,
1922-09-01,1.8200000000000003,,,,
1922-10-01,1.8100000000000005,,,,
1922-11-01,1.8900000000000006,,,,
1922-12-01,1.9399999999999995,,,,
1923-01-01,1.9400000000000004,,,,
1923-02-01,1.8999999999999995,,,,
1923-03-01,1.96,,,,
1923-04-01,1.9500000000000002,,,,
1923-05-01,2.01,,,,
1923-06-01,2.0599999999999996,,,,
1923-07-01,2.2,,,,
1923-08-01,2.3,,,,
1923-09-01,2.26,,,,
1923-10-01,2.3499999999999996,,,,
1923-11-01,2.3100000000000005,,,,
1923-12-01,2.29,,,,
1924-01-01,2.1500000000000004,,,,
1924-02-01,2.05,,,,
1924-03-01,1.9800000000000004,,,,
1924-04-01,1.9500000000000002,,,,
1924-05-01,1.9299999999999997,,,,
1924-06-01,1.83,,,,
1924-07-01,1.7199999999999998,,,,
1924-08-01,1.7400000000000002,,,,
1924-09-01,1.7800000000000002,,,,
1924-10-01,1.7000000000000002,,,,
1924-11-01,1.5999999999999996,,,,
1924-12-01,1.5099999999999998,,,,
1925-01-01,1.4900000000000002,,,,
1925-02-01,1.4100000000000001,,,,
1925-03-01,1.4500000000000002,,,,
1925-04-01,1.54,,,,
1925-05-01,1.4699999999999998,,,,
1925-06-01,1.3499999999999996,,,,
1925-07-01,1.33,,,,
1925-08-01,1.3399999999999999,,,,
1925-09-01,1.33,,,,
1925-10-01,1.3200000000000003,,,,
1925-11-01,1.33,,,,
1925-12-01,1.3000000000000007,,,,
1926-01-01,1.2699999999999996,,,,
1926-02-01,1.25,,,,
1926-03-01,1.2599999999999998,,,,
1926-04-01,1.2400000000000002,,,,
1926-05-01,1.1500000000000004,,,,
1926-06-01,1.08,,,,
1926-07-01,1.08,,,,
1926-08-01,1.0899999999999999,,,,
1926-09-01,1.0700000000000003,,,,
1926-10-01,1.0999999999999996,,,,
1926-11-01,1.0899999999999999,,,,
1926-12-01,1.0,,,,
1927-01-01,0.9500000000000002,,,,
1927-02-01,0.9199999999999999,,,,
1927-03-01,0.9199999999999999,,,,
1927-04-01,0.9000000000000004,,,,
1927-05-01,0.9299999999999997,,,,
1927-06-01,0.9699999999999998,,,,
1927-07-01,0.9500000000000002,,,,
1927-08-01,0.9200000000000008,,,,
1927-09-01,0.8799999999999999,,,,
1927-10-01,0.8700000000000001,,,,
1927-11-01,0.8599999999999994,,,,
1927-12-01,0.8600000000000003,,,,
1928-01-01,0.8899999999999997,,,,
1928-02-01,0.8700000000000001,,,,
1928-03-01,0.8600000000000003,,,,
1928-04-01,0.8700000000000001,,,,
1928-05-01,0.9299999999999997,,,,
1928-06-01,0.9799999999999995,,,,
1928-07-01,0.9699999999999998,,,,
1928-08-01,0.9700000000000006,,,,
1928-09-01,0.9799999999999995,,,,
1928-10-01,0.9699999999999998,,,,
1928-11-01,0.9699999999999998,,,,
1928-12-01,0.9899999999999993,,,,
1929-01-01,1.0099999999999998,,,,
1929-02-01,1.0,,,,
1929-03-01,1.0899999999999999,,,,
1929-04-01,1.1099999999999994,,,,
1929-05-01,1.0999999999999996,,,,
1929-06-01,1.1700000000000008,,,,
1929-07-01,1.1800000000000006,,,,
1929-08-01,1.25,,,,
1929-09-01,1.3200000000000003,,,,
1929-10-01,1.3400000000000007,,,,
1929-11-01,1.2700000000000005,,,,
1929-12-01,1.2800000000000002,,,,
1930-01-01,1.2599999999999998,,,,
1930-02-01,1.1999999999999993,,,,
1930-03-01,1.1100000000000003,,,,
1930-04-01,1.1000000000000005,,,,
1930-05-01,1.12,,,,
1930-06-01,1.21,,,,
1930-07-01,1.25,,,,
1930-08-01,1.2600000000000007,,,,
1930-09-01,1.2300000000000004,,,,
1930-10-01,1.5200000000000005,,,,
1930-11-01,1.7800000000000002,,,,
1930-12-01,2.1900000000000004,,,,
1931-01-01,1.9900000000000002,,,,
1931-02-01,1.9500000000000002,,,,
1931-03-01,2.0500000000000007,,,,
1931-04-01,2.3199999999999994,,,,
1931-05-01,2.7800000000000002,,,,
1931-06-01,3.0,,,,
1931-07-01,2.7199999999999998,,,,
1931-08-01,3.0699999999999994,,,,
1931-09-01,3.5200000000000005,,,,
1931-10-01,4.049999999999999,,,,
1931-11-01,3.9899999999999993,,,,
1931-12-01,5.1,,,,
