date,cpi_amom,ppi_amom,si_diff
1913-01-01,,,
1913-02-01,,-9.47875702093668,
1913-03-01,,0.0,
1913-04-01,,0.0,
1913-05-01,,-9.554162585016023,
1913-06-01,,0.0,
1913-07-01,,10.563407734487074,
1913-08-01,,0.0,
1913-09-01,,21.93910849052316,
1913-10-01,,0.0,
1913-11-01,,-9.404531399608175,
1913-12-01,,-18.127303749133794,
1914-01-01,,-9.630776426438103,
1914-02-01,,0.0,
1914-03-01,,-9.708627793411374,
1914-04-01,,0.0,
1914-05-01,,-9.787746884842196,
1914-06-01,,0.0,
1914-07-01,,0.0,
1914-08-01,,50.20316426161862,
1914-09-01,,10.471306744129683,
1914-10-01,,-33.19547241927893,
1914-11-01,,0.0,
1914-12-01,,-9.787746884842196,
1915-01-01,,22.768858257438794,
1915-02-01,,0.0,
1915-03-01,,0.0,
1915-04-01,,0.0,
1915-05-01,,10.65714194014129,
1915-06-01,,-9.630776426438103,
1915-07-01,,10.65714194014129,
1915-08-01,,-9.630776426438103,
1915-09-01,,0.0,
1915-10-01,,35.157564129898255,
1915-11-01,,21.741008039426156,
1915-12-01,,61.30888842707112,
1916-01-01,,58.37989686796086,
1916-02-01,,19.614968526385447,
1916-03-01,,41.96208888819379,
1916-04-01,,18.700281478651238,
1916-05-01,,8.850588334168364,
1916-06-01,,8.785826836772138,
1916-07-01,,8.722005678354595,
1916-08-01,,28.07315606571219,
1916-09-01,,27.434521242337716,
1916-10-01,,72.86247238036765,
1916-11-01,,125.38009198284774,
1916-12-01,,23.663616743151515,
1917-01-01,,41.318392624586586,
1917-02-01,,30.953782579305788,
1917-03-01,,38.92828659864207,
1917-04-01,,112.58566358899441,
1917-05-01,,91.93991830240016,
1917-06-01,,12.168656270311761,
1917-07-01,,12.046628824290174,
1917-08-01,,18.36714915089306,
1917-09-01,,-10.609015107221643,
1917-10-01,,-10.703544130102117,
1917-11-01,,5.837815541328517,
1917-12-01,,0.0,
1918-01-01,,25.145340033414953,
1918-02-01,,-24.500434936434466,
