date,cfnai,gdp_amom,ipgr_amom,ism
1927-01-01,,,,
1927-02-01,,,25.145340033414953,
1927-03-01,,,54.7145669994876,
1927-04-01,,,-27.80590057116529,
1927-05-01,,,24.38206712703348,
1927-06-01,,,-28.020417980899946,
1927-07-01,,,-28.684074438517126,
1927-08-01,,,25.41045496381593,
1927-09-01,,,-10.656070216300218,
1927-10-01,,,-29.144051945107407,
1927-11-01,,,-44.961547832146344,
1927-12-01,,,12.9560317635957,
1928-01-01,,,127.01159914200004,
1928-02-01,,,55.97027530110352,
1928-03-01,,,-10.37983206353934,
1928-04-01,,,0.0,
1928-05-01,,,0.0,
1928-06-01,,,-10.470307975244742,
1928-07-01,,,11.694788330501327,
1928-08-01,,,38.51547535207498,
1928-09-01,,,37.32759431035417,
1928-10-01,,,-9.949914025525452,
1928-11-01,,,-19.135471989551156,
1928-12-01,,,0.0,
1929-01-01,,,68.8939406871321,
1929-02-01,,,0.0,
1929-03-01,,,10.752553157789734,
1929-04-01,,,64.54218101327203,
1929-05-01,,,0.0,
1929-06-01,,,33.53195399095996,
1929-07-01,,,-17.46965120881433,
1929-08-01,,,-9.259511004375687,
1929-09-01,,,-17.85840974175691,
1929-10-01,,,-33.19547241927893,
1929-11-01,,,-69.41981966129086,
1929-12-01,,,-55.94938744189536,
1930-01-01,,,60.85122076663658,
1930-02-01,,,41.13141203407411,
1930-03-01,,,-20.43360372721459,
1930-04-01,,,25.68119794839012,
1930-05-01,,,-20.43360372721459,
1930-06-01,,,-29.618841078660342,
1930-07-01,,,-57.76448853301426,
1930-08-01,,,-32.24170572767764,
1930-09-01,,,-12.41829301625087,
1930-10-01,,,-23.63718097303543,
1930-11-01,,,-42.77848303492515,
1930-12-01,,,-25.111557937083784,
1931-01-01,,,0.0,
1931-02-01,,,77.09862377370796,
1931-03-01,,,31.76821138293566,
1931-04-01,,,30.953782579305788,
1931-05-01,,,-12.547955627198304,
1931-06-01,,,-42.410006590159824,
1931-07-01,,,-24.853285075540644,
1931-08-01,,,-44.717460236181395,
1931-09-01,,,-37.1597344104276,
1931-10-01,,,-38.324708034953815,
1931-11-01,,,-15.254697211502577,
1931-12-01,,,-15.450658900095515,
1932-01-01,,,18.274132830720546,
1932-02-01,,,-39.993384590903425,
1932-03-01,,,-29.739935594392687,
1932-04-01,,,-42.28854079056834,
1932-05-01,,,-53.90484106017048,
1932-06-01,,,-18.26479897347295,
1932-07-01,,,-18.546118763842923,
1932-08-01,,,50.20316426161862,
1932-09-01,,,213.8428376721003,
1932-10-01,,,0.0,
1932-11-01,,,-16.740642876969115,
1932-12-01,,,20.10662039130533,
1933-01-01,,,-16.740642876969115,
1933-02-01,,,-16.976811561351724,
1933-03-01,,,-53.90484106017048,
1933-04-01,,,275.90891699669044,
1933-05-01,,,430.8735278364379,
1933-06-01,,,550.1617432517145,
1933-07-01,,,254.0706161472152,
1933-08-01,,,-67.75245125863951,
1933-09-01,,,-61.730329332290914,
1933-10-01,,,-64.80043719858631,
1933-11-01,,,-47.27875962455387,
1933-12-01,,,38.31231145693459,
1934-01-01,,,60.10322185676815,
1934-02-01,,,57.284162530582435,
1934-03-01,,,78.32280298507344,
1934-04-01,,,15.067931556059854,
1934-05-01,,,0.0,
1934-06-01,,,-24.600230568937896,
1934-07-01,,,-74.33249070546107,
1934-08-01,,,-27.699856255286036,
1934-09-01,,,-28.348404879206434,
1934-10-01,,,64.31622623112219,
1934-11-01,,,0.0,
1934-12-01,,,507.0168939681246,
1935-01-01,,,97.02225839816951,
1935-02-01,,,-23.408006746114662,
1935-03-01,,,-23.870855107204992,
1935-04-01,,,-12.953686405788122,
1935-05-01,,,-13.094813952329542,
1935-06-01,,,15.067931556059854,
1935-07-01,,,0.0,
1935-08-01,,,0.0,
1935-09-01,,,50.90327486097852,
1935-10-01,,,92.68777569671882,
1935-11-01,,,45.789607923384644,
1935-12-01,,,130.74869863389716,
1936-01-01,,,-50.98682495991087,
